ID,Name,Surname,PhoneNumber,email
1,Igor,Duma,79703943099,Kovalenko@mail.ru
2,Inna,Duma,79303067020,Duma@yandex.ru
3,Inna,Duma,79577317842,Mironenko@mail.ru
4,Anna,Shagal,79057376458,Duma@yandex.ru
5,Svetlana,Shagal,79048282650,Shapiro@mail.ru
6,Alex,Sidorenko,79690093676,Moroz@gmail.com
7,Anna,Shagal,79799378372,Sidorenko@mail.ru
8,Inna,Shapiro,79451525540,Shagal@gmail.com
9,Viktor,Duma,79086975724,Shapiro@gmail.com
10,Anna,Sidorenko,79828519591,Shapiro@mail.ru
11,Svetlana,Shapiro,79995382612,Moroz@mail.ru
12,Igor,Duma,79786703398,Shapiro@mail.ru
13,Alex,Duma,79398653810,Kovalenko@gmail.com
14,Anna,Kovalenko,79219470246,Moroz@mail.ru
15,Anton,Duma,79604993030,Shagal@mail.ru
16,Olga,Duma,79195152744,Sidorenko@gmail.com
17,Viktor,Sidorenko,79707509722,Galich@mail.ru
18,Olga,Duma,79232722799,Sidorenko@gmail.com
19,Vasilisa,Kovalenko,79458386288,Sidorenko@yandex.ru
20,Svetlana,Kovalenko,79129623237,Sidorenko@gmail.com
21,Anton,Galich,79638309877,Duma@gmail.com
22,Vasilisa,Moroz,79475451922,Sidorenko@gmail.com
23,Miron,Shapiro,79618098177,Shapiro@yandex.ru
24,Inna,Sidorenko,79978603507,Kovalenko@mail.ru
25,Viktor,Galich,79751544322,Duma@gmail.com
26,Inna,Kovalenko,79445966035,Shapiro@yandex.ru
27,Vasilisa,Sidorenko,79283736724,Kovalenko@yandex.ru
28,Miron,Shapiro,79404722673,Kovalenko@gmail.com
29,Miron,Moroz,79296869242,Sidorenko@gmail.com
30,Anton,Duma,79541029488,Kovalenko@gmail.com
31,Igor,Sidorenko,79481195199,Galich@yandex.ru
32,Alex,Shapiro,79755678116,Shagal@mail.ru
33,Igor,Moroz,79631641227,Moroz@gmail.com
34,Miron,Shagal,79270690148,Duma@yandex.ru
35,Olga,Shapiro,79295369262,Duma@mail.ru
36,Igor,Kovalenko,79784375980,Duma@gmail.com
37,Igor,Sidorenko,79292462498,Duma@gmail.com
38,Anton,Mironenko,79510171543,Shagal@yandex.ru
39,Igor,Moroz,79459364429,Galich@gmail.com
40,Vasilisa,Duma,79145179280,Shagal@yandex.ru
41,Anna,Duma,79667673124,Shapiro@mail.ru
42,Igor,Mironenko,79526425007,Kovalenko@yandex.ru
43,Vasilisa,Shapiro,79579885679,Sidorenko@gmail.com
44,Inna,Duma,79489595978,Moroz@yandex.ru
45,Anna,Galich,79704892195,Mironenko@mail.ru
